move_id,detected_at,market_id,asset,window,move_start,initial_move,duration_so_far_sec,acceleration_so_far,elapsed_at_detect,direction,entry_ask_at_detect,volatility_at_detect,outcome_ready,move_end,move_duration_sec,max_continuation,max_reversal,time_to_reversal_sec,final_direction,resolution,schema_version,collector_version
4630244@1789698184,2026-09-18T02:23:04.622781+00:00,4630244,SOL,5m,2026-09-18T02:20:00+00:00,-0.000781,184.6,,0.6154,DOWN,0.97,,1,2026-09-18T02:25:00+00:00,115.4,-0.000781,0.000293,75.000654,DOWN,CONTINUED,2,0.1.0
4630239@1789698214,2026-09-18T02:23:34.623039+00:00,4630239,ETH,5m,2026-09-18T02:20:00+00:00,0.00054,214.6,,0.7154,UP,0.82,,1,2026-09-18T02:25:00+00:00,85.4,0.001379,0.00054,,UP,CONTINUED,2,0.1.0
4630246@1789698259,2026-09-18T02:24:19.623435+00:00,4630246,XRP,5m,2026-09-18T02:20:00+00:00,0.000729,259.6,1.5003,0.8654,UP,0.98,0.00032852,1,2026-09-18T02:25:00+00:00,40.4,0.000959,0.000729,,UP,CONTINUED,2,0.1.0
4630230@1789698169,2026-09-18T02:22:49.622644+00:00,4630230,SOL,15m,2026-09-18T02:15:00+00:00,-0.000732,469.6,,0.5218,DOWN,0.72,,1,2026-09-18T02:30:00+00:00,430.4,-0.001221,0.000732,270.002321,UP,REVERSED,2,0.1.0
4630228@1789698214,2026-09-18T02:23:34.623039+00:00,4630228,ETH,15m,2026-09-18T02:15:00+00:00,0.000599,514.6,,0.5718,UP,0.7,,1,2026-09-18T02:30:00+00:00,385.4,0.00229,0.000599,,UP,CONTINUED,2,0.1.0
4630233@1789698274,2026-09-18T02:24:34.623583+00:00,4630233,XRP,15m,2026-09-18T02:15:00+00:00,0.000652,574.6,0.3332,0.6385,UP,0.79,0.00030885,1,2026-09-18T02:30:00+00:00,325.4,0.002109,0.000268,,UP,CONTINUED,2,0.1.0
4630299@1789698424,2026-09-18T02:27:04.624840+00:00,4630299,SOL,5m,2026-09-18T02:25:00+00:00,-0.000684,124.6,,0.4154,DOWN,0.16,,1,2026-09-18T02:30:00+00:00,175.4,-0.000684,0.001172,15.000125,UP,REVERSED,2,0.1.0
4630293@1789698439,2026-09-18T02:27:19.624965+00:00,4630293,XRP,5m,2026-09-18T02:25:00+00:00,0.001533,139.6,,0.4654,UP,0.97,,1,2026-09-18T02:30:00+00:00,160.4,0.001533,0.000767,,UP,CONTINUED,2,0.1.0
4630294@1789698439,2026-09-18T02:27:19.624965+00:00,4630294,ETH,5m,2026-09-18T02:25:00+00:00,0.00104,139.6,,0.4654,UP,0.93,,1,2026-09-18T02:30:00+00:00,160.4,0.00104,6.7e-05,,UP,CONTINUED,2,0.1.0
4630223@1789698214,2026-09-18T02:23:34.623039+00:00,4630223,BTC,15m,2026-09-18T02:15:00+00:00,0.000775,514.6,,0.5718,UP,0.74,,1,2026-09-18T02:30:00+00:00,385.4,0.002137,0.000627,,UP,CONTINUED,2,0.1.0
