move_id,detected_at,market_id,asset,window,move_start,initial_move,duration_so_far_sec,acceleration_so_far,elapsed_at_detect,direction,entry_ask_at_detect,volatility_at_detect,outcome_ready,move_end,move_duration_sec,max_continuation,max_reversal,time_to_reversal_sec,final_direction,resolution,schema_version,collector_version
4545172@1789439060,2026-09-15T02:24:20.990046+00:00,4545172,BTC,5m,2026-09-15T02:20:00+00:00,0.000588,261.0,,0.87,UP,,,1,2026-09-15T02:25:00+00:00,39.0,0.000669,0.000506,,UP,CONTINUED,2,0.1.0
4545167@1789439090,2026-09-15T02:24:50.990299+00:00,4545167,SOL,5m,2026-09-15T02:20:00+00:00,0.000587,291.0,,0.97,UP,,0.0001546,1,2026-09-15T02:25:00+00:00,9.0,0.000587,0.000587,,UP,CONTINUED,2,0.1.0
4545148@1789439030,2026-09-15T02:23:50.989770+00:00,4545148,XRP,15m,2026-09-15T02:15:00+00:00,-0.00077,531.0,,0.59,DOWN,0.83,,1,2026-09-15T02:30:00+00:00,369.0,-0.00091,0.00056,105.000831,DOWN,CONTINUED,2,0.1.0
4545154@1789439090,2026-09-15T02:24:50.990299+00:00,4545154,SOL,15m,2026-09-15T02:15:00+00:00,0.000538,591.0,,0.6567,UP,0.63,0.0001546,1,2026-09-15T02:30:00+00:00,309.0,0.001027,0.000245,,UP,CONTINUED,2,0.1.0
4545155@1789439255,2026-09-15T02:27:35.991539+00:00,4545155,BTC,15m,2026-09-15T02:15:00+00:00,0.0005,756.0,0.3111,0.84,UP,0.79,0.0001287,1,2026-09-15T02:30:00+00:00,144.0,0.0005,-0.000428,45.000371,DOWN,REVERSED,2,0.1.0
4545175@1789439255,2026-09-15T02:27:35.991539+00:00,4545175,XRP,5m,2026-09-15T02:25:00+00:00,0.000525,156.0,,0.52,UP,0.95,,1,2026-09-15T02:30:00+00:00,144.0,0.000595,-0.000315,60.000592,DOWN,REVERSED,2,0.1.0
4545149@1789439315,2026-09-15T02:28:35.992131+00:00,4545149,ETH,15m,2026-09-15T02:15:00+00:00,-0.000707,816.0,2.1198,0.9067,DOWN,0.97,0.00017932,1,2026-09-15T02:30:00+00:00,84.0,-0.000858,-0.00056,,DOWN,CONTINUED,2,0.1.0
4545173@1789439315,2026-09-15T02:28:35.992131+00:00,4545173,BTC,5m,2026-09-15T02:25:00+00:00,-0.000632,216.0,0.473,0.72,DOWN,0.88,0.00016242,1,2026-09-15T02:30:00+00:00,84.0,-0.000632,-0.00038,,DOWN,CONTINUED,2,0.1.0
4545177@1789439315,2026-09-15T02:28:35.992131+00:00,4545177,ETH,5m,2026-09-15T02:25:00+00:00,-0.000848,216.0,0.3661,0.72,DOWN,0.93,0.00018238,1,2026-09-15T02:30:00+00:00,84.0,-0.000999,-0.000701,,DOWN,CONTINUED,2,0.1.0
4545184@1789439540,2026-09-15T02:32:20.993880+00:00,4545184,XRP,5m,2026-09-15T02:30:00+00:00,-0.000561,141.0,,0.47,DOWN,0.95,,1,2026-09-15T02:35:00+00:00,159.0,-0.001332,0.000701,90.000772,UP,REVERSED,2,0.1.0
4545190@1789439630,2026-09-15T02:33:50.994652+00:00,4545190,ETH,5m,2026-09-15T02:30:00+00:00,0.000545,231.0,1.2458,0.77,UP,0.9,0.00022948,1,2026-09-15T02:35:00+00:00,69.0,0.000545,8.7e-05,,DOWN,REVERSED,2,0.1.0
4545235@1789439825,2026-09-15T02:37:05.996275+00:00,4545235,BTC,5m,2026-09-15T02:35:00+00:00,-0.000512,126.0,,0.42,DOWN,0.96,,1,2026-09-15T02:40:00+00:00,174.0,-0.000655,-0.000421,,DOWN,CONTINUED,2,0.1.0
4545238@1789439825,2026-09-15T02:37:05.996275+00:00,4545238,XRP,5m,2026-09-15T02:35:00+00:00,-0.000595,126.0,,0.42,DOWN,0.78,,1,2026-09-15T02:40:00+00:00,174.0,-0.001856,-0.000525,,DOWN,CONTINUED,2,0.1.0
4545239@1789439825,2026-09-15T02:37:05.996275+00:00,4545239,SOL,5m,2026-09-15T02:35:00+00:00,-0.000929,126.0,,0.42,DOWN,0.95,,1,2026-09-15T02:40:00+00:00,174.0,-0.001711,-0.000831,,DOWN,CONTINUED,2,0.1.0
4545240@1789439825,2026-09-15T02:37:05.996275+00:00,4545240,ETH,5m,2026-09-15T02:35:00+00:00,-0.000682,126.0,,0.42,DOWN,0.95,,1,2026-09-15T02:40:00+00:00,174.0,-0.001711,-0.000682,,DOWN,CONTINUED,2,0.1.0
4545186@1789439765,2026-09-15T02:36:05.995783+00:00,4545186,SOL,15m,2026-09-15T02:30:00+00:00,-0.000782,366.0,,0.4067,DOWN,0.77,,1,2026-09-15T02:45:00+00:00,534.0,-0.002249,-0.000782,,DOWN,CONTINUED,2,0.1.0
4545197@1789439765,2026-09-15T02:36:05.995783+00:00,4545197,BTC,15m,2026-09-15T02:30:00+00:00,-0.000595,366.0,,0.4067,DOWN,0.78,,1,2026-09-15T02:45:00+00:00,534.0,-0.0012,-0.000527,,DOWN,CONTINUED,2,0.1.0
4545198@1789439795,2026-09-15T02:36:35.996049+00:00,4545198,ETH,15m,2026-09-15T02:30:00+00:00,-0.000505,396.0,,0.44,DOWN,0.7,,1,2026-09-15T02:45:00+00:00,504.0,-0.001832,-0.000505,,DOWN,CONTINUED,2,0.1.0
4545183@1789439900,2026-09-15T02:38:20.996873+00:00,4545183,XRP,15m,2026-09-15T02:30:00+00:00,-0.001402,501.0,0.8237,0.5567,DOWN,0.92,0.00042892,1,2026-09-15T02:45:00+00:00,399.0,-0.001402,0.000771,105.000856,UP,REVERSED,2,0.1.0
4545490@1789440140,2026-09-15T02:42:20.998841+00:00,4545490,ETH,5m,2026-09-15T02:40:00+00:00,-0.000551,141.0,,0.47,DOWN,0.76,,1,2026-09-15T02:45:00+00:00,159.0,-0.000551,6.6e-05,90.000559,DOWN,CONTINUED,2,0.1.0
4545489@1789440230,2026-09-15T02:43:50.999400+00:00,4545489,SOL,5m,2026-09-15T02:40:00+00:00,0.000832,231.0,0.3843,0.77,UP,0.78,0.00021854,1,2026-09-15T02:45:00+00:00,69.0,0.000832,-4.9e-05,60.0004,DOWN,REVERSED,2,0.1.0
4545494@1789440230,2026-09-15T02:43:50.999400+00:00,4545494,XRP,5m,2026-09-15T02:40:00+00:00,0.000736,231.0,1.0,0.77,UP,,0.00034309,1,2026-09-15T02:45:00+00:00,69.0,0.000736,3.5e-05,,UP,CONTINUED,2,0.1.0
