move_id,detected_at,market_id,asset,window,move_start,initial_move,duration_so_far_sec,acceleration_so_far,elapsed_at_detect,direction,entry_ask_at_detect,volatility_at_detect,outcome_ready,move_end,move_duration_sec,max_continuation,max_reversal,time_to_reversal_sec,final_direction,resolution,schema_version,collector_version
4104016@1788407986,2026-09-03T03:59:46.123893+00:00,4104016,SOL,15m,2026-09-03T03:45:00+00:00,0.001645,886.1,,0.9846,UP,,,1,2026-09-03T04:00:00+00:00,13.9,0.001645,0.001645,,UP,CONTINUED,2,0.1.0
4104018@1788407986,2026-09-03T03:59:46.123893+00:00,4104018,ETH,15m,2026-09-03T03:45:00+00:00,0.001344,886.1,,0.9846,UP,,,1,2026-09-03T04:00:00+00:00,13.9,0.001344,0.001344,,UP,CONTINUED,2,0.1.0
4104030@1788407986,2026-09-03T03:59:46.123893+00:00,4104030,XRP,15m,2026-09-03T03:45:00+00:00,0.001796,886.1,,0.9846,UP,,,1,2026-09-03T04:00:00+00:00,13.9,0.001796,0.001796,,UP,CONTINUED,2,0.1.0
4105017@1788407986,2026-09-03T03:59:46.123893+00:00,4105017,SOL,5m,2026-09-03T03:55:00+00:00,-0.000597,286.1,,0.9537,DOWN,,,1,2026-09-03T04:00:00+00:00,13.9,-0.000597,-0.000597,,DOWN,CONTINUED,2,0.1.0
4104033@1788407986,2026-09-03T03:59:46.123893+00:00,4104033,BTC,15m,2026-09-03T03:45:00+00:00,0.000673,886.1,,0.9846,UP,,,1,2026-09-03T04:00:00+00:00,13.9,0.000673,0.000673,,UP,CONTINUED,2,0.1.0
4105055@1788408151,2026-09-03T04:02:31.125564+00:00,4105055,XRP,5m,2026-09-03T04:00:00+00:00,0.000695,151.1,,0.5038,UP,0.95,,1,2026-09-03T04:05:00+00:00,148.9,0.001573,0.000476,,UP,CONTINUED,2,0.1.0
4105060@1788408226,2026-09-03T04:03:46.126431+00:00,4105060,ETH,5m,2026-09-03T04:00:00+00:00,0.000633,226.1,0.2713,0.7538,UP,,0.00011546,1,2026-09-03T04:05:00+00:00,73.9,0.000795,0.000529,,UP,CONTINUED,2,0.1.0
4105072@1788408436,2026-09-03T04:07:16.128925+00:00,4105072,SOL,5m,2026-09-03T04:05:00+00:00,0.000547,136.1,,0.4538,UP,0.72,,1,2026-09-03T04:10:00+00:00,163.9,0.000945,0.000547,,UP,CONTINUED,2,0.1.0
4105071@1788408451,2026-09-03T04:07:31.129068+00:00,4105071,ETH,5m,2026-09-03T04:05:00+00:00,0.000503,151.1,,0.5038,UP,0.69,,1,2026-09-03T04:10:00+00:00,148.9,0.000878,0.000503,,UP,CONTINUED,2,0.1.0
4105076@1788408466,2026-09-03T04:07:46.129194+00:00,4105076,XRP,5m,2026-09-03T04:05:00+00:00,0.000548,166.1,,0.5538,UP,0.37,,1,2026-09-03T04:10:00+00:00,133.9,0.000768,-0.000402,105.001071,UP,CONTINUED,2,0.1.0
4105046@1788408361,2026-09-03T04:06:01.127940+00:00,4105046,XRP,15m,2026-09-03T04:00:00+00:00,0.000695,361.1,,0.4013,UP,0.73,,1,2026-09-03T04:15:00+00:00,538.9,0.001865,-0.000768,240.002591,DOWN,REVERSED,2,0.1.0
4105066@1788408376,2026-09-03T04:06:16.128110+00:00,4105066,ETH,15m,2026-09-03T04:00:00+00:00,0.000603,376.1,,0.4179,UP,0.79,,1,2026-09-03T04:15:00+00:00,523.9,0.001544,-0.000878,390.00416,DOWN,REVERSED,2,0.1.0
4105063@1788408436,2026-09-03T04:07:16.128925+00:00,4105063,SOL,15m,2026-09-03T04:00:00+00:00,0.000647,436.1,0.3999,0.4846,UP,0.77,0.00017791,1,2026-09-03T04:15:00+00:00,463.9,0.001542,-0.001542,300.003041,DOWN,REVERSED,2,0.1.0
4105089@1788408721,2026-09-03T04:12:01.131832+00:00,4105089,SOL,5m,2026-09-03T04:10:00+00:00,-0.000944,121.1,,0.4038,DOWN,0.93,,1,2026-09-03T04:15:00+00:00,178.9,-0.002534,-0.000944,,DOWN,CONTINUED,2,0.1.0
4105090@1788408721,2026-09-03T04:12:01.131832+00:00,4105090,ETH,5m,2026-09-03T04:10:00+00:00,-0.000563,121.1,,0.4038,DOWN,0.9,,1,2026-09-03T04:15:00+00:00,178.9,-0.002076,-0.000563,,DOWN,CONTINUED,2,0.1.0
4105088@1788408766,2026-09-03T04:12:46.132270+00:00,4105088,XRP,5m,2026-09-03T04:10:00+00:00,-0.000877,166.1,,0.5538,DOWN,0.81,,1,2026-09-03T04:15:00+00:00,133.9,-0.001535,-7.3e-05,,DOWN,CONTINUED,2,0.1.0
4105052@1788408361,2026-09-03T04:06:01.127940+00:00,4105052,BTC,15m,2026-09-03T04:00:00+00:00,0.000525,361.1,,0.4013,UP,0.76,,1,2026-09-03T04:15:00+00:00,538.9,0.001539,-0.001061,405.00433,DOWN,REVERSED,2,0.1.0
4105495@1788409021,2026-09-03T04:17:01.134853+00:00,4105495,XRP,5m,2026-09-03T04:15:00+00:00,-0.001099,121.1,,0.4038,DOWN,0.95,,1,2026-09-03T04:20:00+00:00,178.9,-0.002125,-0.000366,,DOWN,CONTINUED,2,0.1.0
4105520@1788409021,2026-09-03T04:17:01.134853+00:00,4105520,SOL,5m,2026-09-03T04:15:00+00:00,-0.000598,121.1,,0.4038,DOWN,0.89,,1,2026-09-03T04:20:00+00:00,178.9,-0.001296,-0.000498,,DOWN,CONTINUED,2,0.1.0
4105511@1788409171,2026-09-03T04:19:31.136484+00:00,4105511,ETH,5m,2026-09-03T04:15:00+00:00,-0.00054,271.1,0.8347,0.9038,DOWN,,0.00015706,1,2026-09-03T04:20:00+00:00,28.9,-0.00054,-0.000519,,DOWN,CONTINUED,2,0.1.0
