move_id,detected_at,market_id,asset,window,move_start,initial_move,duration_so_far_sec,acceleration_so_far,elapsed_at_detect,direction,entry_ask_at_detect,volatility_at_detect,outcome_ready,move_end,move_duration_sec,max_continuation,max_reversal,time_to_reversal_sec,final_direction,resolution,schema_version,collector_version
4016020@1788229329,2026-09-01T02:22:09.508097+00:00,4016020,XRP,5m,2026-09-01T02:20:00+00:00,0.00051,129.5,,0.4317,UP,0.9,,1,2026-09-01T02:25:00+00:00,170.5,0.001092,0.000291,,UP,CONTINUED,2,0.1.0
4016025@1788229344,2026-09-01T02:22:24.508256+00:00,4016025,SOL,5m,2026-09-01T02:20:00+00:00,0.000582,144.5,,0.4817,UP,0.94,,1,2026-09-01T02:25:00+00:00,155.5,0.001165,0.000388,,UP,CONTINUED,2,0.1.0
4016026@1788229359,2026-09-01T02:22:39.508419+00:00,4016026,ETH,5m,2026-09-01T02:20:00+00:00,0.000562,159.5,,0.5317,UP,0.97,,1,2026-09-01T02:25:00+00:00,140.5,0.000859,0.000456,,UP,CONTINUED,2,0.1.0
4016011@1788229284,2026-09-01T02:21:24.507652+00:00,4016011,ETH,15m,2026-09-01T02:15:00+00:00,0.000531,384.5,,0.4272,UP,0.77,,1,2026-09-01T02:30:00+00:00,515.5,0.001887,0.000234,,UP,CONTINUED,2,0.1.0
4016015@1788229404,2026-09-01T02:23:24.508904+00:00,4016015,XRP,15m,2026-09-01T02:15:00+00:00,0.000582,504.5,0.6666,0.5606,UP,0.91,0.00020304,1,2026-09-01T02:30:00+00:00,395.5,0.001893,-0.00051,300.002758,DOWN,REVERSED,2,0.1.0
4016013@1788229404,2026-09-01T02:23:24.508904+00:00,4016013,SOL,15m,2026-09-01T02:15:00+00:00,0.000776,504.5,0.7141,0.5606,UP,0.93,0.00023665,1,2026-09-01T02:30:00+00:00,395.5,0.001941,9.7e-05,,UP,CONTINUED,2,0.1.0
4016041@1788229629,2026-09-01T02:27:09.510964+00:00,4016041,SOL,5m,2026-09-01T02:25:00+00:00,0.000678,129.5,,0.4317,UP,0.9,,1,2026-09-01T02:30:00+00:00,170.5,0.000872,-0.000969,60.000567,DOWN,REVERSED,2,0.1.0
4016046@1788229629,2026-09-01T02:27:09.510964+00:00,4016046,XRP,5m,2026-09-01T02:25:00+00:00,0.000546,129.5,,0.4317,UP,0.85,,1,2026-09-01T02:30:00+00:00,170.5,0.001128,-0.001273,60.000567,DOWN,REVERSED,2,0.1.0
4016042@1788229674,2026-09-01T02:27:54.511392+00:00,4016042,ETH,5m,2026-09-01T02:25:00+00:00,0.000929,174.5,,0.5817,UP,0.96,,1,2026-09-01T02:30:00+00:00,125.5,0.000929,-0.000697,15.000139,DOWN,REVERSED,2,0.1.0
4016009@1788229509,2026-09-01T02:25:09.509879+00:00,4016009,BTC,15m,2026-09-01T02:15:00+00:00,0.000543,609.5,0.5657,0.6772,UP,0.93,0.00013395,1,2026-09-01T02:30:00+00:00,290.5,0.000543,-0.000884,60.00055,DOWN,REVERSED,2,0.1.0
4016051@1788229929,2026-09-01T02:32:09.513802+00:00,4016051,XRP,5m,2026-09-01T02:30:00+00:00,0.000801,129.5,,0.4317,UP,0.9,,1,2026-09-01T02:35:00+00:00,170.5,0.001019,0.000146,,DOWN,REVERSED,2,0.1.0
4016065@1788229929,2026-09-01T02:32:09.513802+00:00,4016065,SOL,5m,2026-09-01T02:30:00+00:00,0.001649,129.5,,0.4317,UP,0.94,,1,2026-09-01T02:35:00+00:00,170.5,0.001746,0.000388,,UP,CONTINUED,2,0.1.0
4016052@1788229929,2026-09-01T02:32:09.513802+00:00,4016052,ETH,5m,2026-09-01T02:30:00+00:00,0.001131,129.5,,0.4317,UP,0.95,,1,2026-09-01T02:35:00+00:00,170.5,0.001651,0.001021,,UP,CONTINUED,2,0.1.0
4016110@1788230244,2026-09-01T02:37:24.516735+00:00,4016110,XRP,5m,2026-09-01T02:35:00+00:00,-0.000692,144.5,,0.4817,DOWN,0.95,,1,2026-09-01T02:40:00+00:00,155.5,-0.000983,-0.000692,,DOWN,CONTINUED,2,0.1.0
4016111@1788230274,2026-09-01T02:37:54.516967+00:00,4016111,ETH,5m,2026-09-01T02:35:00+00:00,-0.000687,174.5,,0.5817,DOWN,0.98,,1,2026-09-01T02:40:00+00:00,125.5,-0.000687,-0.000341,,DOWN,CONTINUED,2,0.1.0
